distance_km,relative_velocity_kms,time_to_closest_min,risk
97.72,5.75,8.98,0
37.37,12.86,20.62,0
134.37,6.37,13.24,0
9.32,7.69,15.66,0
8.85,7.49,19.85,0
84.02,7.7,18.09,0
122.37,5.56,24.37,0
106.23,8.9,5.51,0
143.8,8.87,3.69,0
19.02,13.97,18.51,0
122.03,12.8,16.55,0
146.1,9.29,17.01,0
125.26,11.69,25.99,0
88.72,12.55,2.33,0
38.05,8.39,3.31,0
38.75,6.51,9.06,0
97.17,9.15,11.74,0
35.38,8.17,28.16,0
98.97,11.59,5.96,0
110.72,7.13,12.0,0
148.48,11.9,17.15,0
104.27,13.93,23.5,0
38.21,5.82,10.15,0
43.82,7.61,28.34,0
132.07,8.65,20.01,0
62.37,14.65,14.31,0
43.41,7.97,17.28,0
43.1,11.35,27.04,0
62.91,7.69,29.93,0
78.88,6.41,2.37,0
20.9,11.77,23.97,0
66.21,6.14,12.07,0
149.44,10.79,29.16,0
129.81,5.61,21.9,0
103.85,10.87,8.74,0
97.94,6.62,13.61,0
70.79,15.04,26.4,0
43.19,10.51,6.18,0
137.33,14.21,9.65,0
97.65,11.59,5.43,0
115.56,10.89,23.58,0
81.9,5.51,10.4,0
7.82,14.79,26.48,0
125.59,8.58,2.68,0
132.31,14.97,3.48,0
75.47,6.19,23.06,0
116.05,6.78,14.78,0
84.72,8.15,26.3,0
66.36,7.62,16.64,0
110.84,7.51,10.04,0
149.3,12.0,13.7,0
80.05,6.71,7.52,0
54.02,11.38,7.67,0
36.93,6.21,19.3,0
38.2,14.55,25.93,0
15.27,7.88,20.4,0
36.06,6.82,28.13,0
87.8,10.23,23.75,0
122.09,7.4,3.81,0
67.5,9.74,14.54,0
110.72,12.23,29.54,0
19.27,9.53,10.84,0
129.94,7.99,6.52,0
70.05,9.72,9.08,0
41.22,14.73,13.85,0
129.9,11.0,2.47,0
149.9,13.86,29.1,0
139.32,13.99,5.82,0
75.42,7.64,12.63,0
13.5,9.29,29.57,0
43.45,13.34,14.2,0
66.34,15.07,29.87,0
85.59,12.68,5.49,0
48.02,15.19,17.8,0
83.62,12.98,2.66,0
89.71,10.53,25.73,0
27.83,15.11,3.32,1
31.94,11.45,20.58,0
39.1,6.7,26.82,0
40.7,11.45,18.96,0
65.79,11.34,16.16,0
140.53,7.54,21.77,0
39.61,9.46,20.48,0
48.5,8.66,22.8,0
15.52,10.08,29.96,0
149.43,6.23,7.18,0
43.45,14.83,26.55,0
132.49,9.2,5.57,0
125.89,12.54,18.74,0
148.15,12.04,1.23,0
123.48,8.49,20.24,0
141.14,6.84,4.35,0
20.52,11.03,8.9,1
92.7,12.68,6.9,0
96.96,8.14,15.17,0
136.27,13.96,3.68,0
66.42,8.27,1.1,0
116.81,11.87,8.6,0
112.48,11.02,13.4,0
6.4,6.25,26.61,0
136.07,10.96,25.2,0
89.46,6.98,4.7,0
49.7,14.49,24.09,0
129.8,14.49,7.09,0
41.18,6.53,23.62,0
133.2,9.56,19.0,0
27.41,14.8,26.07,0
146.55,13.61,26.56,0
8.59,12.87,10.63,0
139.97,13.52,26.06,0
122.56,8.17,23.83,0
20.67,14.22,25.9,0
37.25,13.67,14.35,0
49.25,13.45,7.6,0
8.43,7.43,10.52,0
130.33,15.17,9.09,0
98.01,9.5,29.45,0
82.75,14.89,4.34,0
145.71,7.29,28.91,0
43.49,6.58,13.6,0
110.64,8.64,18.58,0
79.16,9.35,17.72,0
41.93,12.59,1.05,0
139.21,10.88,21.86,0
112.58,12.21,11.56,0
15.15,12.14,10.58,0
50.52,13.98,21.87,0
48.55,8.59,12.84,0
63.35,8.46,4.69,0
65.96,14.9,20.64,0
135.91,11.66,9.73,0
84.45,5.5,9.32,0
67.33,11.3,19.99,0
72.42,9.92,7.2,0
73.61,14.51,24.08,0
29.61,6.35,15.95,0
96.78,8.85,24.73,0
113.92,12.23,7.51,0
33.87,5.74,8.1,0
73.89,14.0,3.11,0
65.09,11.8,6.64,0
105.97,10.44,8.08,0
100.13,5.56,22.78,0
116.66,6.57,13.33,0
30.5,15.08,16.02,0
12.28,7.99,25.6,0
71.19,13.51,20.36,0
148.24,11.45,28.55,0
134.26,11.63,21.86,0
78.19,13.81,16.89,0
135.1,12.94,14.77,0
42.58,7.97,19.49,0
116.04,10.71,19.18,0
44.82,6.27,9.29,0
44.4,8.7,16.66,0
25.06,7.81,21.12,0
107.43,6.14,12.82,0
83.68,9.66,7.0,0
65.92,14.55,17.94,0
105.85,14.07,23.2,0
60.16,5.56,11.2,0
114.25,14.03,28.65,0
65.76,12.98,16.84,0
92.47,7.71,7.36,0
68.2,5.79,10.75,0
103.48,9.54,5.79,0
72.77,6.78,19.05,0
8.91,9.44,17.37,0
8.93,11.93,4.94,1
71.95,6.0,11.99,0
35.69,8.77,23.08,0
59.97,13.02,25.13,0
41.58,6.32,1.56,0
83.22,15.5,11.15,0
99.27,13.31,19.9,0
114.36,15.0,6.78,0
7.96,7.02,4.66,0
102.07,11.14,7.32,0
106.42,13.17,5.87,0
93.05,12.98,4.32,0
123.8,15.15,4.13,0
8.72,8.62,20.64,0
143.94,9.47,21.74,0
16.02,12.41,19.19,0
19.78,13.22,25.66,0
92.06,6.71,29.53,0
118.48,8.97,13.42,0
58.73,10.56,10.9,0
128.19,13.72,4.06,0
144.31,11.86,25.03,0
107.56,9.85,22.28,0
144.99,8.2,24.44,0
83.04,10.33,13.63,0
111.0,8.18,25.7,0
125.46,6.37,26.57,0
40.36,10.15,18.7,0
59.95,5.79,25.68,0
31.37,7.62,24.14,0
54.35,14.3,21.33,0
45.06,5.6,28.49,0
